"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	2.4010690020794	0.861	0.149	0	"0"	"Dlk1"
0	1.67209178150696	0.79	0.161	0	"0"	"Igf2"
0	1.31943159866127	0.964	0.62	0	"0"	"Cdkn1c"
0	1.2076658004184	0.998	0.89	0	"0"	"Itm2a"
0	0.93006249572243	0.53	0.205	0	"1"	"Cfh"
0	0.909249545203714	0.984	0.881	0	"1"	"Hspa1b"
0	0.836741415288401	0.992	0.918	0	"1"	"Egr1"
1.45626542751279e-269	0.831228829674173	0.987	0.822	2.52079545502463e-265	"1"	"Mgp"
0	1.61256323657374	0.803	0.254	0	"2"	"Sfrp2"
0	1.59779535881499	0.994	0.62	0	"2"	"Postn"
0	1.59196802515247	0.624	0.108	0	"2"	"Acta2"
0	1.57288018171594	0.987	0.639	0	"2"	"Csrp2"
0	1.7173313275145	0.963	0.378	0	"3"	"Hsd11b1"
0	1.44801585372002	0.918	0.687	0	"3"	"Cxcl14"
0	1.42416097866349	0.996	0.686	0	"3"	"Ccl11"
0	1.40909629027783	0.913	0.462	0	"3"	"Crispld2"
0	2.55061322898736	0.956	0.373	0	"4"	"Pi16"
0	2.08662717804805	0.908	0.511	0	"4"	"Igfbp5"
0	1.8571852206564	0.972	0.405	0	"4"	"Cd55"
0	1.75747256512669	0.985	0.535	0	"4"	"Anxa3"
0	0.868774275492657	0.999	0.841	0	"5"	"Lpl"
0	0.754696253913388	0.996	0.761	0	"5"	"Abca8a"
4.05093160129469e-300	0.76059720260156	0.988	0.711	7.01216260184112e-296	"5"	"Htra3"
8.03106842682037e-296	0.788166292772187	0.993	0.674	1.39017794468261e-291	"5"	"Col15a1"
0	1.74617893545687	0.987	0.599	0	"6"	"Timp1"
0	1.53932754117242	0.477	0.031	0	"6"	"Top2a"
1.04375374072644e-252	1.66656131557561	0.84	0.417	1.80673772519747e-248	"6"	"Ccl2"
6.31115043297258e-223	1.53482995944674	0.852	0.503	1.09246013994755e-218	"6"	"S100a4"
0	4.56535733437491	0.975	0.089	0	"7"	"Cxcl5"
1.01254067768603e-213	2.76105176027936	0.982	0.429	1.75270791307452e-209	"7"	"Ccl2"
1.2005371262105e-106	3.20203142756877	0.757	0.375	2.07812976547037e-102	"7"	"Prg4"
2.16067083423484e-76	3.0996089779298	0.443	0.129	3.74012121406051e-72	"7"	"Mmp3"
1.56807467821928e-198	2.59872751245738	0.767	0.141	2.71433726799758e-194	"8"	"H2-Aa"
3.55365892806933e-192	3.30810782518572	0.872	0.206	6.151383604488e-188	"8"	"Cd74"
1.33486000378593e-178	3.12234655787174	0.943	0.297	2.31064266655345e-174	"8"	"Lyz2"
8.33462127891467e-73	2.5881177011592	0.93	0.685	1.44272294338013e-68	"8"	"Apoe"
4.88620170447647e-79	2.98819051875133	1	0.823	8.45801515044877e-75	"9"	"Apod"
2.52441906728476e-75	2.67313094731767	0.648	0.139	4.36976940546992e-71	"9"	"Trf"
1.40422032175641e-66	1.67205751270021	1	0.894	2.43070537696034e-62	"9"	"Smoc2"
1.66837511315803e-54	1.76497392308641	0.975	0.712	2.88795732087656e-50	"9"	"Cxcl14"
1.1731881962547e-101	3.30616974928488	1	0.306	2.03078876771688e-97	"10"	"Myl1"
2.78103195817013e-101	3.48713062150185	1	0.308	4.81396631959249e-97	"10"	"Tnnc2"
2.99278687012953e-92	3.45436900967833	1	0.362	5.18051407219422e-88	"10"	"Acta1"
7.37073318622534e-82	3.49831970916879	1	0.466	1.27587391453561e-77	"10"	"Mylpf"
