"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
0	2.56691952411824	0.989	0.346	0	"0"	"Mb"
9.95741826761883e-303	1.86126780935201	0.802	0.13	1.49620166889241e-298	"0"	"Myh1"
8.147936483046e-276	1.76877678602357	0.864	0.241	1.22430893594249e-271	"0"	"Fhl1"
5.03006267608196e-105	1.91216831149587	0.299	0.035	7.55817217708076e-101	"0"	"Csrp3"
0	1.73125243758906	0.983	0.404	0	"1"	"Amd1"
2.20166559445854e-258	1.67883627097756	1	0.403	3.30822272223341e-254	"1"	"Myh4"
1.71336494145518e-255	1.36926582148596	1	0.948	2.57450216103056e-251	"1"	"Tpm1"
2.05193289223805e-234	1.53296115370764	0.99	0.469	3.08323436387689e-230	"1"	"Car3"
0	1.86731676068221	0.72	0.039	0	"2"	"Top2a"
7.81116710555987e-293	1.73245975622883	0.92	0.177	1.17370596928143e-288	"2"	"Hmgb2"
1.51076119320555e-292	1.6803054491047	0.947	0.189	2.27006976891066e-288	"2"	"Stmn1"
8.89996791827023e-215	1.66433911177367	0.99	0.483	1.33730917939929e-210	"2"	"Tubb5"
4.91340842293762e-206	1.54136449242312	0.995	0.404	7.38288749630607e-202	"3"	"Col1a2"
1.14704785770846e-199	1.59325860172349	0.969	0.385	1.72355411099273e-195	"3"	"Mest"
8.7038479951123e-186	1.68600683994775	0.995	0.543	1.30784019974557e-181	"3"	"Crip1"
1.74603755174144e-133	1.62449648299459	0.688	0.167	2.62359602524668e-129	"3"	"Spp1"
7.41691675530401e-230	2.24500140900143	0.751	0.101	1.11446591165198e-225	"4"	"Meg3"
1.1808188093178e-127	2.18210567723361	0.931	0.514	1.77429834288092e-123	"4"	"Hspa1b"
1.34227303841197e-93	2.42917846050056	0.823	0.41	2.01689946751782e-89	"4"	"Fos"
1.59407548820356e-48	2.17770173416632	0.777	0.569	2.39525782857468e-44	"4"	"Mt1"
0	3.14184737886481	0.997	0.059	0	"5"	"Myog"
2.98175089999289e-273	2.2696325535542	0.758	0.072	4.48037890232932e-269	"5"	"Tnnt2"
7.28939777899901e-207	2.84662826622443	0.971	0.305	1.09530491027239e-202	"5"	"Cdkn1c"
6.66197158296715e-155	2.18761965979213	0.765	0.174	1.00102785005664e-150	"5"	"Actc1"
3.29093943061464e-153	1.39462296513814	1	0.655	4.94496558844155e-149	"6"	"Myl1"
4.51697335355935e-146	1.48226600505347	1	0.695	6.78720416105828e-142	"6"	"Mylpf"
2.30499937054203e-113	1.29218897020827	1	0.55	3.46349205417645e-109	"6"	"Pvalb"
2.34811341642769e-96	1.04840971610797	1	0.769	3.52827521952425e-92	"6"	"Map1lc3a"
2.76815012872604e-59	1.11393461852626	1	0.802	4.15942238342375e-55	"7"	"mt-Nd2"
1.04754338862282e-54	0.99666436532818	0.955	0.566	1.57403869574466e-50	"7"	"mt-Nd4l"
4.42577027104258e-50	1.04453451126694	1	0.815	6.65016240926858e-46	"7"	"mt-Nd4"
2.99753656055733e-14	1.27230502513566	0.481	0.25	4.50409843589344e-10	"7"	"Myh1"
6.54412124622631e-109	2.51356990806506	0.782	0.082	9.83319658457965e-105	"8"	"C1qb"
6.09798418272935e-84	3.30034018953307	0.974	0.22	9.16283103296912e-80	"8"	"Lyz2"
3.11542829826308e-45	2.67180793305988	0.654	0.135	4.68124256097011e-41	"8"	"Cd74"
1.30871899270975e-41	3.14362549250922	0.923	0.505	1.96648115844567e-37	"8"	"Apoe"
0	4.65566574847904	0.658	0.002	0	"9"	"Mpz"
0	2.65591792119378	1	0.009	0	"9"	"Plp1"
0	2.48727264260443	0.974	0.002	0	"9"	"Kcna1"
5.90322826341051e-47	3.24892791527373	0.974	0.184	8.87019078860063e-43	"9"	"Pmp22"
1.01151004933955e-32	2.99013111789437	1	0.199	1.51989500013761e-28	"10"	"Col1a1"
1.3582059442916e-31	3.78032556920709	1	0.213	2.04084025189256e-27	"10"	"Dcn"
7.96040098681594e-17	3.18661895136781	1	0.516	1.19612985227896e-12	"10"	"Gsn"
1.73595369897143e-16	2.82997145648862	0.958	0.513	2.60844402807447e-12	"10"	"Col3a1"
