"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Mylk4"	0	-0.779802267744104	0.2	0.654	0	"0"	"Mylk4"
"Sh3bgr"	0	-1.22714995445106	0.164	0.652	0	"0"	"Sh3bgr"
"Ankrd23"	0	-1.33281173571617	0.257	0.682	0	"0"	"Ankrd23"
"Ttn"	8.53240315992475e-306	-1.09124286287338	0.27	0.663	1.70648063198495e-302	"0"	"Ttn"
"Ppp1r3a"	6.27922475186316e-296	-0.588514169262873	0.224	0.609	1.25584495037263e-292	"0"	"Ppp1r3a"
"Nrap"	3.99841503014634e-293	-0.556669129049513	0.136	0.563	7.99683006029269e-290	"0"	"Nrap"
"Mlf1"	1.05216011774674e-281	-0.831333869214476	0.144	0.594	2.10432023549347e-278	"0"	"Mlf1"
"Mef2c"	7.05838135374118e-248	-1.08500527472906	0.355	0.723	1.41167627074824e-244	"0"	"Mef2c"
"Pdlim3"	7.48788173663016e-243	-0.812698314043567	0.13	0.559	1.49757634732603e-239	"0"	"Pdlim3"
"Xirp2"	2.02892021888592e-233	-0.9000316968827	0.257	0.654	4.05784043777184e-230	"0"	"Xirp2"
"Tyrobp"	4.22383389439795e-221	-1.06305413545442	0.12	0.464	8.4476677887959e-218	"0"	"Tyrobp"
"Neb"	8.76827390195343e-217	-1.26740014648432	0.288	0.658	1.75365478039069e-213	"0"	"Neb"
"Ptprc"	1.15086881670991e-213	-0.669109454141289	0.067	0.427	2.30173763341981e-210	"0"	"Ptprc"
"Ppp1r27"	9.53756717408442e-211	-0.567080003288846	0.165	0.537	1.90751343481688e-207	"0"	"Ppp1r27"
"Eef1a2"	5.59831821059516e-210	-0.786159242221272	0.18	0.579	1.11966364211903e-206	"0"	"Eef1a2"
"Ccl6"	1.65982825631327e-208	-0.617127054699104	0.067	0.416	3.31965651262654e-205	"0"	"Ccl6"
"Ldb3"	6.40184860899172e-202	-0.711243416865951	0.133	0.546	1.28036972179834e-198	"0"	"Ldb3"
"Ifi27l2a"	4.0674305513385e-197	-0.984507702173621	0.324	0.643	8.134861102677e-194	"0"	"Ifi27l2a"
"Coro1a"	5.59162541468319e-195	-0.586104647530994	0.108	0.457	1.11832508293664e-191	"0"	"Coro1a"
"Tmod4"	1.8087274644336e-192	-0.888108122267889	0.2	0.576	3.61745492886721e-189	"0"	"Tmod4"
"Rgs2"	2.39609577447891e-192	-0.621175246293555	0.158	0.514	4.79219154895781e-189	"0"	"Rgs2"
"Mybpc1"	2.75110968950214e-190	-0.68681307134966	0.198	0.559	5.50221937900429e-187	"0"	"Mybpc1"
"Des"	4.2472501625846e-189	-1.55748366146941	0.355	0.704	8.49450032516919e-186	"0"	"Des"
"Tmem100"	2.91547146692621e-180	-0.621883148807002	0.303	0.667	5.83094293385242e-177	"0"	"Tmem100"
"Mylk2"	6.08569132514236e-177	-0.519926456251207	0.166	0.523	1.21713826502847e-173	"0"	"Mylk2"
"Trim54"	4.0992887831663e-175	-0.804417653837169	0.191	0.574	8.1985775663326e-172	"0"	"Trim54"
"S100a8"	8.36653136090974e-173	-2.29667751045151	0.166	0.474	1.67330627218195e-169	"0"	"S100a8"
"Atp2a1"	1.31635088646863e-172	-1.79493286615752	0.166	0.576	2.63270177293727e-169	"0"	"Atp2a1"
"Cox6a2"	3.9991579966943e-169	-2.17492671897569	0.207	0.593	7.99831599338859e-166	"0"	"Cox6a2"
"Cd52"	8.49300838758332e-167	-1.00868367705083	0.178	0.484	1.69860167751666e-163	"0"	"Cd52"
"Lcp1"	8.95424215513365e-167	-0.539741586857181	0.104	0.399	1.79084843102673e-163	"0"	"Lcp1"
"Nr4a2"	3.64641709153162e-166	-0.534277592586439	0.24	0.528	7.29283418306325e-163	"0"	"Nr4a2"
"Acta1"	6.93502460246229e-163	-3.43792252096216	0.787	0.856	1.38700492049246e-159	"0"	"Acta1"
"Myot"	2.10556654333042e-161	-0.847809117445587	0.115	0.518	4.21113308666084e-158	"0"	"Myot"
"Arhgdib"	2.58548130386647e-161	-0.632036279571805	0.155	0.481	5.17096260773295e-158	"0"	"Arhgdib"
"Cxcl2"	5.59956888377526e-161	-0.63001256216805	0.121	0.447	1.11991377675505e-157	"0"	"Cxcl2"
"S100a9"	7.61437396887601e-161	-2.4527147907302	0.196	0.483	1.5228747937752e-157	"0"	"S100a9"
"Retnlg"	1.46648352904033e-157	-0.522772310618141	0.048	0.341	2.93296705808066e-154	"0"	"Retnlg"
"Smpx"	1.87189858431685e-156	-0.959643712232656	0.143	0.533	3.74379716863369e-153	"0"	"Smpx"
"Tnnt3"	2.54649046051652e-155	-3.37783712605917	0.672	0.846	5.09298092103304e-152	"0"	"Tnnt3"
"Car3"	7.03633079151185e-155	-2.03273386007983	0.191	0.572	1.40726615830237e-151	"0"	"Car3"
"Clu"	5.49958409476642e-152	-0.734567806548196	0.108	0.439	1.09991681895328e-148	"0"	"Clu"
"Amd1"	1.92899153667454e-151	-0.842503519520696	0.509	0.774	3.85798307334908e-148	"0"	"Amd1"
"Adssl1"	1.28915819798185e-144	-1.08716775915175	0.153	0.542	2.57831639596371e-141	"0"	"Adssl1"
"Tpm1"	3.00860025787191e-144	-3.24448551254495	0.838	0.88	6.01720051574382e-141	"0"	"Tpm1"
"Cd24a"	7.28464444849108e-144	-0.543897239990357	0.193	0.527	1.45692888969822e-140	"0"	"Cd24a"
"Mylpf"	2.23700757083239e-142	-3.31320033900436	0.744	0.862	4.47401514166478e-139	"0"	"Mylpf"
"Mybpc2"	1.37574841847908e-139	-1.0444651133633	0.149	0.525	2.75149683695816e-136	"0"	"Mybpc2"
"Fcer1g"	1.92940641541709e-139	-0.878962640163954	0.127	0.425	3.85881283083418e-136	"0"	"Fcer1g"
"Cox7c"	1.92045050887795e-138	-0.932732912463745	0.963	0.955	3.8409010177559e-135	"0"	"Cox7c"
"Myoz1"	8.12067669599044e-136	-1.90011288737161	0.188	0.556	1.62413533919809e-132	"0"	"Myoz1"
"Thbs4"	1.87120038231486e-135	-1.13109789403586	0.245	0.571	3.74240076462973e-132	"0"	"Thbs4"
"Cdh13"	1.62209695252459e-130	-0.766421227985509	0.179	0.495	3.24419390504918e-127	"0"	"Cdh13"
"Ndufa4"	1.81938376002975e-128	-1.04111831938003	0.876	0.874	3.63876752005949e-125	"0"	"Ndufa4"
"Pfkm"	5.01247961791366e-128	-0.942851614973972	0.228	0.586	1.00249592358273e-124	"0"	"Pfkm"
"Hspb7"	5.79795167771403e-128	-0.643047152172501	0.141	0.475	1.15959033554281e-124	"0"	"Hspb7"
"Hdc"	5.63287342994078e-127	-0.592199820164455	0.146	0.374	1.12657468598816e-123	"0"	"Hdc"
"Myh4"	9.64381067643745e-122	-1.90384526426913	0.278	0.618	1.92876213528749e-118	"0"	"Myh4"
"Srgn"	8.0038793697023e-119	-1.51143524432464	0.122	0.449	1.60077587394046e-115	"0"	"Srgn"
"Sema3c"	2.2925456412521e-115	-0.717865759997837	0.325	0.644	4.58509128250419e-112	"0"	"Sema3c"
"Sdpr"	3.02285257547075e-115	-0.859357570688087	0.209	0.477	6.0457051509415e-112	"0"	"Sdpr"
"Tnnc2"	3.54412829063599e-114	-3.42389002320172	0.727	0.803	7.08825658127197e-111	"0"	"Tnnc2"
"Rgcc"	9.99317520399458e-114	-0.691731681060194	0.116	0.461	1.99863504079892e-110	"0"	"Rgcc"
"Tnni2"	8.39615257292074e-113	-3.16246066517977	0.629	0.811	1.67923051458415e-109	"0"	"Tnni2"
"H2-Aa"	1.17429402561725e-105	-1.14377589029068	0.178	0.443	2.3485880512345e-102	"0"	"H2-Aa"
"Igfbp5"	2.11983841084088e-103	-1.23805542836525	0.461	0.723	4.23967682168176e-100	"0"	"Igfbp5"
"Myl1"	5.71848505523287e-99	-3.24251194267773	0.619	0.76	1.14369701104657e-95	"0"	"Myl1"
"Fabp4"	4.90650313085927e-98	-1.19192856123399	0.155	0.421	9.81300626171855e-95	"0"	"Fabp4"
"Ccl21a"	1.17774307867283e-96	-1.01386355599685	0.034	0.317	2.35548615734565e-93	"0"	"Ccl21a"
"Plek"	6.85855778078509e-96	-0.53909222835838	0.257	0.473	1.37171155615702e-92	"0"	"Plek"
"Atp5j2"	3.14700337863972e-94	-0.779802845273279	0.899	0.887	6.29400675727944e-91	"0"	"Atp5j2"
"Atp5e"	2.83060516142204e-92	-0.874769749960363	0.971	0.968	5.66121032284407e-89	"0"	"Atp5e"
"Acta2"	3.89922654541806e-90	-0.683105000307571	0.088	0.366	7.79845309083612e-87	"0"	"Acta2"
"Ldha"	4.7517947488061e-86	-1.15653072644955	0.834	0.824	9.50358949761219e-83	"0"	"Ldha"
"Mbp"	1.81306134363547e-85	-0.509021333624575	0.121	0.37	3.62612268727093e-82	"0"	"Mbp"
"Ckm"	1.91293242186482e-84	-3.17761130908224	0.624	0.717	3.82586484372964e-81	"0"	"Ckm"
"Ddit4l"	3.34956058083393e-84	-0.670119887079159	0.126	0.453	6.69912116166786e-81	"0"	"Ddit4l"
"Apobec2"	1.12577488362249e-82	-1.00476796172387	0.183	0.506	2.25154976724499e-79	"0"	"Apobec2"
"Il1b"	1.58615595310046e-82	-0.902595170697709	0.24	0.407	3.17231190620092e-79	"0"	"Il1b"
"Cox6c"	9.25988272234497e-82	-0.827362336442335	0.953	0.919	1.85197654446899e-78	"0"	"Cox6c"
"Trdn"	2.47974555837961e-73	-0.621017788727395	0.251	0.522	4.95949111675921e-70	"0"	"Trdn"
"H2-Eb1"	3.6249882389905e-73	-1.11948289887808	0.175	0.424	7.249976477981e-70	"0"	"H2-Eb1"
"Rpl3l"	5.29014460826456e-73	-0.874464744009641	0.19	0.505	1.05802892165291e-69	"0"	"Rpl3l"
"Gapdh"	1.3350718896085e-72	-1.54699861188506	0.975	0.984	2.670143779217e-69	"0"	"Gapdh"
"Tspan13"	6.68956448089539e-72	-0.548947376949664	0.022	0.338	1.33791289617908e-68	"0"	"Tspan13"
"Egfl7"	8.54434647145447e-71	-1.01194664070614	0.036	0.312	1.70886929429089e-67	"0"	"Egfl7"
"Nexn"	1.3272876559487e-67	-0.581932951222526	0.398	0.659	2.65457531189741e-64	"0"	"Nexn"
"H2-Ab1"	2.78802188442903e-67	-1.18940056195792	0.105	0.371	5.57604376885807e-64	"0"	"H2-Ab1"
"Lyz2"	5.28675272785552e-67	-1.77622817248872	0.159	0.414	1.0573505455711e-63	"0"	"Lyz2"
"Cd36"	1.25901255566756e-66	-0.513768538839842	0.033	0.335	2.51802511133511e-63	"0"	"Cd36"
"Cystm1"	1.26315946486538e-65	-0.600036571196227	0.38	0.616	2.52631892973076e-62	"0"	"Cystm1"
"Cox5a"	1.25468143538721e-63	-1.32151103443562	0.812	0.792	2.50936287077441e-60	"0"	"Cox5a"
"Cox5b"	2.44089668960798e-63	-0.822511294264769	0.882	0.835	4.88179337921596e-60	"0"	"Cox5b"
"Eno3"	2.93935873291936e-57	-2.58292119541359	0.274	0.511	5.87871746583872e-54	"0"	"Eno3"
"Tpi1"	1.42529185378185e-54	-1.33467934613548	0.669	0.806	2.85058370756371e-51	"0"	"Tpi1"
"Uqcr11"	1.41901408457474e-53	-0.782188047103146	0.843	0.822	2.83802816914948e-50	"0"	"Uqcr11"
"Cd74"	1.89103819002564e-53	-2.05747184839585	0.217	0.449	3.78207638005127e-50	"0"	"Cd74"
"Prg4"	5.40745915156119e-53	-0.622678176350378	0.321	0.545	1.08149183031224e-49	"0"	"Prg4"
