"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Cxcl14"	0	2.32612886945713	0.954	0.579	0	"0"	"Cxcl14"
"Smoc2"	0	2.06851914749409	0.998	0.65	0	"0"	"Smoc2"
"Hsd11b1"	0	1.77542984517017	0.984	0.65	0	"0"	"Hsd11b1"
"Lum"	0	1.748992219413	0.994	0.428	0	"0"	"Lum"
"Ccl11"	0	1.69985257196128	0.995	0.598	0	"0"	"Ccl11"
"Crispld2"	0	1.67711436245993	0.965	0.595	0	"0"	"Crispld2"
"Col15a1"	0	1.63997489915035	0.986	0.595	0	"0"	"Col15a1"
"Col4a1"	0	1.60653633623791	0.998	0.751	0	"0"	"Col4a1"
"Col6a3"	0	1.49069031225765	0.996	0.731	0	"0"	"Col6a3"
"Col5a3"	0	1.44665011497122	0.994	0.736	0	"0"	"Col5a3"
"Col6a2"	0	1.42601253308692	0.998	0.754	0	"0"	"Col6a2"
"Angptl1"	0	1.41056400297052	0.973	0.668	0	"0"	"Angptl1"
"Col4a2"	0	1.29608105602801	0.991	0.695	0	"0"	"Col4a2"
"Mme"	0	1.27877443586664	0.908	0.377	0	"0"	"Mme"
"Lamb1"	0	1.19362011373713	0.949	0.555	0	"0"	"Lamb1"
"Plau"	0	1.18922170630013	0.937	0.608	0	"0"	"Plau"
"Podn"	0	1.18847408330284	0.945	0.511	0	"0"	"Podn"
"Bgn"	0	1.15277024703695	0.966	0.658	0	"0"	"Bgn"
"Hmcn2"	0	1.08227356127556	0.932	0.631	0	"0"	"Hmcn2"
"Col3a1"	0	1.05932227850457	0.999	0.824	0	"0"	"Col3a1"
"Egr1"	0	1.04580855593496	0.983	0.771	0	"0"	"Egr1"
"Hspa1b"	0	1.04547075795662	0.948	0.809	0	"0"	"Hspa1b"
"Meg3"	0	1.02969340271034	0.955	0.72	0	"0"	"Meg3"
"Fbln7"	0	1.02839513027923	0.678	0.42	0	"0"	"Fbln7"
"Nmb"	0	1.01864494021352	0.778	0.43	0	"0"	"Nmb"
"G0s2"	0	0.991494596713048	0.895	0.635	0	"0"	"G0s2"
"Ifi30"	0	0.964020219709909	0.871	0.533	0	"0"	"Ifi30"
"Gpm6b"	0	0.952661682817829	0.865	0.547	0	"0"	"Gpm6b"
"Igf1"	0	0.95233441077103	0.922	0.517	0	"0"	"Igf1"
"Itm2a"	0	0.937533531622971	0.956	0.699	0	"0"	"Itm2a"
"Vwa1"	0	0.93678619775791	0.908	0.363	0	"0"	"Vwa1"
"Vtn"	0	0.923688746837356	0.858	0.339	0	"0"	"Vtn"
"Bmp5"	0	0.878027942310453	0.852	0.593	0	"0"	"Bmp5"
"F3"	0	0.866864203464695	0.904	0.596	0	"0"	"F3"
"Ctsk"	0	0.856323991039734	0.934	0.67	0	"0"	"Ctsk"
"Enpp2"	0	0.856077722723558	0.9	0.613	0	"0"	"Enpp2"
"Prss23"	0	0.855851577852636	0.938	0.626	0	"0"	"Prss23"
"Col6a6"	0	0.848730949833395	0.785	0.555	0	"0"	"Col6a6"
"Cygb"	0	0.838973283032743	0.96	0.639	0	"0"	"Cygb"
"Prelp"	0	0.828747616913626	0.952	0.64	0	"0"	"Prelp"
"Lbp"	0	0.822035168274031	0.942	0.697	0	"0"	"Lbp"
"Htra1"	0	0.820230878997493	0.923	0.679	0	"0"	"Htra1"
"Bmp4"	0	0.816703392120793	0.839	0.323	0	"0"	"Bmp4"
"Col1a2"	0	0.810218579039399	1	0.759	0	"0"	"Col1a2"
"Steap4"	0	0.79020951811318	0.847	0.512	0	"0"	"Steap4"
"Abca8b"	0	0.785271252328647	0.916	0.671	0	"0"	"Abca8b"
"Ctsh"	0	0.780817738656207	0.897	0.717	0	"0"	"Ctsh"
"Nnmt"	0	0.77482781997724	0.862	0.6	0	"0"	"Nnmt"
"Gas1"	0	0.719435155451899	0.934	0.578	0	"0"	"Gas1"
"Spry1"	0	0.71219553726243	0.913	0.607	0	"0"	"Spry1"
